0urufudoggo.theescort-name|[Beta] El Escolta
gilded_desc|Obtén los favores de<REPLACE>, utiliza los poderes prestados.
gilded_sub_a|l vacío
gilded_sub_b| un lugar misterioso
[P1] |[J1] 
[P2] |[J2] 
[P3] |[J3] 
[P4] |[J4] 
Player 1|Jugador 1
Player 2|Jugador 2
Player 3|Jugador 3
Player 4|Jugador 4
escoptions_build_desc|Selecciona el estilo para el <REPLACE>.
escoptions_builds|¡Estos cambiarán valores ocultos de tal forma que el Escolta juegue de manera diferente! Prueba cada estilo para ver cuál te gusta más.
escoptions_buildeasy_text|Modo fácil
(1)   (2)   (3)   (4) <-PLAYER #|(1)   (2)   (3)   (4) <-JUGADOR #
escoptions_gimmicks|Estas chucherías opcionales añadirán características que puede que alteren significativamente (y de maneras divertidas) la experiencia de juego del Escolta.
escoptions_sillysfx_text|Act. sonidos tontos
escoptions_elevator_text|Activar elevador
escoptions_elevator_desc|Permite al Escolta alcanzar las estrellas cada vez que este rampe de una criatura viva.
escoptions_propdk_text|Animación de patada voladora auténtica
escoptions_propdk_desc|Hacer que el Escolta gire su cuerpo en el aire para que las patadas voladores parezcan de verdad.
escoptions_deflslide_text|Deslizamiento superextendido del <DEFLECTOR>
escoptions_deflslide_desc|Hace que los deslizamientos del <DEFLECTOR> duren mucho más tiempo.
escoptions_poletech_text|Técnica de poste
escoptions_poletech_desc|Porque alguien lo pidió. No como el <REPLACE>, sino algo parecido ;). Siempre activado para el Escolta <DEFAULT>.
escoptions_oldspeed_text|Mecánicas antiguas del <SPEEDSTER>
escoptions_oldspeed_desc|Revierte las mecánicas del Escolta <SPEEDSTER> a las de antes de la renovación.
escoptions_deflshared_text|Permadaño compartido del <DEFLECTOR>
escoptions_deflshared_desc|Compartir el multiplicador de permadaño del <DEFLECTOR> para que cualquiera pueda obtener una baja y beneficiarse.
escoptions_oldescape_text|Mecánicas antiguas del <ESCAPIST>
escoptions_oldescape_desc|Remontarse al <ESCAPIST> original, que simplemente puede salirse de las capturas.
Speedster Gear Limit|Límite de marchas del Velocista
Sets the gear limit for the Speedster build. Handle with care!|Establece el límite de marchas para el estilo Velocista. ¡Cámbialo con cuidado!
Railgunner Overcharge Limit|Límite de sobrecarga del Artillero
Sets the overcharge limit for the Railgunner build.|Establece el límite de sobrecarga para el estilo Artillero.
Gilded Max Power|Poder máximo del Dorado
Sets the maximum power capacity for the Gilded build.|Establece la capacidad de poder máxima para el estilo Dorado.
escoptions_accessibility|Cambia de qué manera se muestran algunos efectos visuales para que sea más fácil entender lo que está pasando.
escoptions_hypeindicator_text|Indicador de hipercombate más marcado
escoptions_hypeindicator_desc|Añade un efecto visual que muestra con más claridad si el Escolta tiene el estado de hipercombate o no.
escoptions_deflaltvfx_text|Efecto visual diferente de fortalecimiento para el <DEFLECTOR>
escoptions_deflaltvfx_desc|Cambia el efecto visual de fortalecimiento para el Escolta <DEFLECTOR>, de chispas a círculos pulsantes.
escoptions_devlog_text|Registros de desarrollador
escoptions_devlog_desc|Controla qué se permite enviar a los registros. -1 desactiva todos los registros de desarrollador del Escolta.
escoptions_hudloc_text|Disposición del HUD del Escolta
escoptions_hudloc_desc|Cambiar dónde se sitúa el HUD (solo aplica al HUD predeterminado).
escoptions_hudshow_text|Visibilidad del HUD del Escolta
escoptions_hudshow_desc|Cambiar cómo y cuándo se muestra el HUD.
[{ch03}{ch03a}{ch03b}] Merchants Must Pay!|[{ch03}{ch03a}{ch03b}] ¡Los mercaderes deben pagar!
Here's where your trophies go!|¡Aquí es donde van tus trofeos!
escoptions_insult_a|No eres mi mamá.
escoptions_insult_b|Vete al ca#@$%o.
escoptions_insult_c|Skill issue.
escoptions_insult_d|Me da igual.
escoptions_insult_e|Cierra el hocico.
escoptions_sectret_spuphaiku|     ...su fin no fue...     <LINE> ...mas la cría se fuga... <LINE>  ...cuídate, ¿okey?...   
escoptions_sectret_gilded|Se suponía que este código tenía que desbloquear el estilo <GILDED> de forma anticipada,<LINE>pero dado que se lanzó públicamente, ya no sirve más para este propósito...<LINE><LINE>¡Ahora este código envía al <GILDED> a <REPLACE>!<LINE>¡Disfrútalo!
escoptions_sectret_subgild|un lugar especial
escoptions_sectret_invincible|Invencible... pero no realmente. Solo no recibirás daño xd.
escoptions_sectret_magic|No te quejes cuando tu traspaso de pared salga mal.
Congrats! You have the access code (that you definitely got from the developer) and can now test the lastest upcoming build!|¡Felicitaciones! ¡Tienes el código de acceso (que definitivamente lo obtuviste del desarrollador) y ahora puedes probar el último estilo a estrenarse!
The world is full of vermin. A tragedy shall occur in the stock market. Fight the law.<LINE><LINE>- Play as Railgunner<LINE>-Max charges set to 10<LINE>-Scavenger reputation is locked at -1<LINE><LINE>WIN CONDITION: Kill the merchant in Shaded Citadel, Garbage Wastes, Sky Islands, and Subterranean<LINE>BONUS 1: Kill 150 Normal Scavengers<LINE>BONUS 2: Kill 20 Elite Scavengers|El mundo está lleno de sabandijas. Una tragedia ocurrirá en el mercado de valores. Lucha contra la ley.<LINE><LINE>- Juega con el Artillero<LINE>-Cargas máximas establecidas al 10<LINE>-Reputación con los carroñeros bloqueada al -1<LINE><LINE>CONDICIÓN DE VICTORIA: Mata al mercader en Ciudadela Ensombrecida, Páramos de Residuos, Islas Celestiales y Subterráneo<LINE>EXTRA 1: Mata a 150 carroñeros normales<LINE>EXTRA 2: Mata a 20 carroñeros de élite
... what now?|... ¿ahora qué?
OUT!|¡FUERA!
Fucking.|Mierda.
Hello little beast. It is nice to see you again.|Hola, pequeña bestia. Es un placer verte de nuevo.
Thank you for visiting me. I would not mind some company, but you cannot stay here. I do not want you to be caught in the collapse of my structure.|Gracias por visitarme. No me molestaría algo de compañía, pero no puedes quedarte aquí.<LINE>No quiero que te veas atrapado en el colapso de mi estructura.
It is nice to see you again, but I'm afraid I have nothing for you.|Es un placer verte de nuevo, pero me temo que no tengo nada para ti.
Has Suns decided to insult me with yet another messenger?|¿Soles decidió insultarme con otro mensajero más?
...|...
... a mouse.|... un ratón.
... a failure.|... un fracaso.
... a disease.|... una peste.
... nothing interesting.|... nada interesante.
... a thing.|... un bicho.
... a vermin.|... una alimaña.
... a rat.|... una rata.
Just my luck.|Vaya suerte la mía.
I don't have time to deal with this right now.|No tengo tiempo para lidiar con esto ahora mismo.
Get out.|Sal.
Get out of my chamber.|Sal de mi cámara.
I'm so sorry little creature! I never meant to hurt you!|¡Lo siento mucho, pequeña criatura! ¡Nunca quise hacerte daño!
My structure is on the verge of collapsing. This is all I can offer...|Mi estructura está al borde del colapso. Esto es todo lo que puedo ofrecer...
Isn't it funny? The last creature to enter my chamber had extreme adaptations as well.|¿No te parece raro? La última criatura que entró a mi cámara también tenía adaptaciones extremas.
Though yours seem vastly different... What are you?|Pero las tuyas son abrumadoramente diferentes... ¿Qué eres?
I could look up the records of your body's blueprints, but it would be dangerous for you to stay here for the process.|Podría buscar en los registros de los planos de tu cuerpo, pero sería peligroso para ti quedarte aquí durante el proceso.
My n...|Mi v...
My neighb... b b b|Mi vec... ci ci ci
My neighbor, Five Pebbles, has not stopped his output. If the messenger made it safely to the communications array, the local group would know.|Mi vecino, Cinco Guijarros, no ha detenido su producción.<LINE>Si el mensajero llegó sano y salvo a las antenas de comunicación, el grupo local lo sabría.
Were you sent by the local group?|¿Fuiste enviado por el grupo local?
Who sent you?|¿Quién te envió?
I should not keep you here any longer.|No debería mantenerte más aquí.
I cannot offer you hospitality either, poor thing. Run along now, before my structure collapses.|Tampoco puedo ofrecerte hospitalidad, criaturita. Ve corriendo antes de que mi estructura colapse.
My neighbor, Five Pebbles, has not stopped his output. I do not know if the messenger made it to him, or if he has chosen to ignore the message.|Mi vecino, Cinco Guijarros, no ha detenido su producción.<LINE>No sé si el mensajero llegó hasta él u optó por ignorar el mensaje.
There is not much I can do, and I urge you to move on, before my structure fails.|No hay mucho que pueda hacer y te insto a que sigas adelante antes de que mi estructura falle.
I would not mind some company, however I urge you to move along. I do not want you to be caught in the collapse of my structure.|No me molestaría algo de compañía, pero te insto a que sigas adelante.<LINE>No quiero que te veas atrapado en el colapso de mi estructura.
flippounce_tutorial|Mantén pulsada una dirección diagonal contra la pared y luego pulsa saltar para hacer una ¡súper voltereta de pared!
Change Escort's Build, which affects how they play significantly! You can also set these values in the Remix Settings!|¡Cambia el estilo del Escolta, los cuales afectan significativamente su forma de jugar! ¡Puedes configurar estos valores en los ajustes de Remix!
Easier Mode: While midair and moving, press Jump + Grab to do a dropkick!|Modo fácil: ¡Mientras te mueves en el aire, pulsa Saltar + Agarrar para hacer una patada voladora!
At the cost of a karma flower, the slugpup respawns!|¡A costa de una flor de karma, la cría reaparece!
Bringing a karma flower into the shelter while already reinforced will consume the karma flower instead!|¡Traer una flor de karma al refugio mientras ya estás reforzado hará que esa sea consumida en su lugar!
Garbage Wastes Merchant Downed!|¡Mercader de Páramos de Residuos derrotado!
{sgs.saveState.miscWorldSaveData.Esave().ESC03_ObjLeft}/4 to go!|¡Faltan {sgs.saveState.miscWorldSaveData.Esave().ESC03_ObjLeft}/4!
Shaded Citadel Merchant Downed!|¡Mercader de Ciudadela Ensombrecida derrotado!
Sky Islands Merchant Downed!|¡Mercader de Islas Celestiales derrotado!
Subterranian Merchant Downed!|¡Mercader de Subterráneo derrotado!
20 Elite Scavengers Felled!|¡20 carroñeros de élite abatidos!
Wow! You did it!|¡Guau! ¡Lo hiciste!
150 Scavengers Felled!|¡150 carroñeros abatidos!
Yippee!!!|¡¡¡Yupi!!!
gilded_tut_guardian|¡El <GILDED> solo tiene que matar al guardián una vez para pasar!
